[[28684, 50000], [13328, 50000]]	,
[[28697, 50000], [13438, 50000]]	,
[[28868, 50000], [13490, 50000]]	,
[[28884, 50000], [13284, 50000]]	,
[[28776, 50000], [13560, 50000]]	,
[[28898, 50000], [13436, 50000]]	,
[[28747, 50000], [13418, 50000]]	,
[[28928, 50000], [13504, 50000]]	,
[[28751, 50000], [13448, 50000]]	,
[[28690, 50000], [13362, 50000]]	,
[[28804, 50000], [13291, 50000]]	,
[[28875, 50000], [13503, 50000]]	,
[[28703, 50000], [13389, 50000]]	,
[[28963, 50000], [13372, 50000]]	,
[[28727, 50000], [13534, 50000]]	,
[[28703, 50000], [13332, 50000]]	,
[[28793, 50000], [13473, 50000]]	,
[[28604, 50000], [13448, 50000]]	,
[[28755, 50000], [13347, 50000]]	,
[[28757, 50000], [13456, 50000]]	,
[[28671, 50000], [13512, 50000]]	,
[[28832, 50000], [13462, 50000]]	,
[[28768, 50000], [13425, 50000]]	,
[[28457, 50000], [13492, 50000]]	,
[[28609, 50000], [13264, 50000]]	,
[[28675, 50000], [13261, 50000]]	,
[[28843, 50000], [13351, 50000]]	,
[[28713, 50000], [13390, 50000]]	,
[[28577, 50000], [13414, 50000]]	,
[[28739, 50000], [13314, 50000]]	,
[[28743, 50000], [13539, 50000]]	,
[[28691, 50000], [13385, 50000]]	,
[[28785, 50000], [13350, 50000]]	,
[[28713, 50000], [13416, 50000]]	,
[[28735, 50000], [13440, 50000]]	,
[[28655, 50000], [13450, 50000]]	,
[[28719, 50000], [13482, 50000]]	,
[[28826, 50000], [13578, 50000]]	,
[[28914, 50000], [13468, 50000]]	,
[[28775, 50000], [13413, 50000]]	,
[[28663, 50000], [13422, 50000]]	,
[[28908, 50000], [13481, 50000]]	,
[[28698, 50000], [13425, 50000]]	,
[[28800, 50000], [13455, 50000]]	,
[[28647, 50000], [13625, 50000]]	,
[[28670, 50000], [13384, 50000]]	,
[[28779, 50000], [13471, 50000]]	,
[[28787, 50000], [13388, 50000]]	,
[[28914, 50000], [13269, 50000]]	,
[[28720, 50000], [13459, 50000]]	,
[[28857, 50000], [13528, 50000]]	,
[[28811, 50000], [13372, 50000]]	,
[[28729, 50000], [13326, 50000]]	,
[[28735, 50000], [13333, 50000]]	,
[[28824, 50000], [13388, 50000]]	,
[[28723, 50000], [13369, 50000]]	,
